# ----------------------------------------
# Todos os dados do website
# Idioma
# 20131225-20180228
# ----------------------------------------

idioma,usuarios,novos-usuarios,sessoes,tr,ps,dmds,taxa-de-conversão-de-meta,conclusoes-de-meta,valor-da-meta
pt-br,9730,9858,15800,"45,73%","6,19",00:04:16,"0,00%",0,"R$ 0,00"
(not set),4062,4066,4086,"88,35%","1,16",00:00:22,"0,00%",0,"R$ 0,00"
en-us,915,917,1513,"50,43%","4,65",00:03:29,"0,00%",0,"R$ 0,00"
en,202,201,206,"98,06%","1,13",00:00:06,"0,00%",0,"R$ 0,00"
pt-pt,143,141,231,"53,68%","4,22",00:03:03,"0,00%",0,"R$ 0,00"
es,76,74,88,"55,68%","5,00",00:02:47,"0,00%",0,"R$ 0,00"
en-gb,53,54,79,"44,30%","4,13",00:02:06,"0,00%",0,"R$ 0,00"
fr,35,33,41,"46,34%","5,80",00:03:02,"0,00%",0,"R$ 0,00"
de-de,18,18,21,"57,14%","4,43",00:02:25,"0,00%",0,"R$ 0,00"
fr-fr,16,16,24,"75,00%","1,96",00:00:26,"0,00%",0,"R$ 0,00"
Total,15364,15485,22416,"54,36%","5,03",00:03:25,"0,00%",0,"R$ 0,00"

