# ----------------------------------------
# Todos os dados do website
# Localização
# 20131225-20180228
# ----------------------------------------

pais,usuarios,novos-usuarios,sessoes,tr,ps,dmds,taxa-de-conversao-de-meta,conclusoes-de-meta,valor-da-meta
Brazil,10547,10642,17153,"45,62%","6,15",00:04:15,"0,00%",0,"R$ 0,00"
United States,1666,1660,1678,"87,13%","1,15",00:00:26,"0,00%",0,"R$ 0,00"
(not set),1054,1055,1059,"91,03%","1,11",00:00:15,"0,00%",0,"R$ 0,00"
United Kingdom,310,308,314,"82,17%","1,40",00:00:14,"0,00%",0,"R$ 0,00"
China,240,239,244,"86,48%","1,07",00:00:36,"0,00%",0,"R$ 0,00"
Germany,159,157,163,"73,62%","1,64",00:00:37,"0,00%",0,"R$ 0,00"
Japan,127,126,127,"86,61%","1,11",00:00:24,"0,00%",0,"R$ 0,00"
Italy,104,103,105,"53,33%","2,48",00:00:41,"0,00%",0,"R$ 0,00"
France,102,99,111,"72,97%","2,24",00:01:14,"0,00%",0,"R$ 0,00"
Portugal,85,81,95,"71,58%","3,23",00:02:01,"0,00%",0,"R$ 0,00"
Total,15425,15485,22416,"54,36%","5,03",00:03:25,"0,00%",0,"R$ 0,00"
