# ----------------------------------------
# Todos os dados do website
# Navegador e sistema operacional
# 20131225-20180228
# ----------------------------------------

navegador,usuarios,novos-usuarios,sessoes,tr,ps,dmds,taxa-de-conversao-de-meta,conclusoes-de-meta,valor-da-meta
Chrome,12344,12379,17777,"54,76%","5,19",00:03:26,"0,00%",0,"R$ 0,00"
Safari,1067,1080,1793,"49,08%","5,21",00:03:35,"0,00%",0,"R$ 0,00"
Firefox,989,989,1514,"55,22%","4,66",00:04:02,"0,00%",0,"R$ 0,00"
Safari (in-app),239,239,255,"55,29%","3,48",00:01:37,"0,00%",0,"R$ 0,00"
Internet Explorer,236,233,280,"63,93%","3,50",00:02:39,"0,00%",0,"R$ 0,00"
(not set),132,132,132,"32,58%","0,33",00:00:00,"0,00%",0,"R$ 0,00"
Edge,127,128,184,"52,72%","4,21",00:03:18,"0,00%",0,"R$ 0,00"
Android Browser,110,109,143,"72,03%","2,08",00:02:21,"0,00%",0,"R$ 0,00"
Opera,66,65,123,"47,15%","5,60",00:03:44,"0,00%",0,"R$ 0,00"
Android Webview,57,57,67,"55,22%","3,27",00:01:47,"0,00%",0,"R$ 0,00"
Total,15447,15485,22416,"54,36%","5,03",00:03:25,"0,00%",0,"R$ 0,00"

